Senator,District,Party,Office Address,"City, State, Zip",Phone Number,Email
Andrew Mathews,15,R,3409 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-8075,Email Not Available
Jeremy R. Miller,28,R,3107 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5649,Email Not Available
Carla J. Nelson,26,R,3235 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4848,Email Not Available
Scott J.  Newman,18,R,3105 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4131,sen.scott.newman@senate.mn
Jerry Newton,37,DFL,2411 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-2556,sen.jerry.newton@senate.mn
David J. Osmek,33,R,2107 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-1282,sen.david.osmek@senate.mn
Sandra L. Pappas,65,DFL,2205 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-1802,Email Not Available
Eric R. Pratt,55,R,3219 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4123,Email Not Available
Jason Rarick,11,R,3411 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-1508,Email Not Available
Jerry Relph,14,R,3211 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-6455,sen.jerry.relph@senate.mn
Ann H. Rest,45,DFL,2217 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-2889,Email Not Available
Julie A. Rosen,23,R,2113 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5713,sen.julie.rosen@senate.mn
Carrie Ruud,10,R,3233 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4913,sen.carrie.ruud@senate.mn
David H. Senjem,25,R,3401 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-3903,sen.david.senjem@senate.mn
Erik Simonson,07,DFL,2417 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4188,sen.erik.simonson@senate.mn
Dan Sparks,27,DFL,2201 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-9248,sen.dan.sparks@senate.mn
David J. Tomassoni,06,DFL,2235 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-8017,Email Not Available
Patricia Torres Ray,63,DFL,2225 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-4274,Email Not Available
Paul J. Utke,02,R,3403 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-9651,Email Not Available
Bill Weber,22,R,2109 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-5650,sen.bill.weber@senate.mn
Torrey N. Westrom,12,R,3201 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-3826,sen.torrey.westrom@senate.mn
Charles W. Wiger,43,DFL,2219 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-296-6820,Email Not Available
Melissa H. Wiklund,50,DFL,2323 Minnesota Senate Bldg.,"St. Paul, MN 55155",651-297-8061,sen.melissa.wiklund@senate.mn
